Order ID,Order Date,Ship Date,Customer ID,Region,Segment,Category,Sub-Category,Quantity,Unit Price,Sales,Discount,Profit,Year,Month,Ship Delay Days,Profit Margin %
ORD100014,23-02-2024,27-02-2024,CUST1283,West,Corporate,Office Supplies,Paper,4,15.88,63.52,0.15,-2.94,2024,01-02-2024,4,-4.628463476
ORD100015,12-12-2021,15-12-2021,CUST1376,South,Consumer,Technology,Computers,9,91.84,826.56,0,164.01,2021,01-12-2021,3,19.84247967
ORD100016,18-09-2024,18-09-2024,CUST1455,East,Consumer,Technology,Phones,9,157.8,1420.2,0,284.81,2024,01-09-2024,0,20.05421772
ORD100017,26-09-2023,28-09-2023,CUST1159,South,Consumer,Technology,Computers,8,42.28,338.24,0.1,40.33,2023,01-09-2023,2,11.92348628
ORD100018,07-12-2024,11-12-2024,CUST1112,East,Corporate,Office Supplies,Binders,8,16.09,128.72,0.15,6.02,2024,01-12-2024,4,4.676817899
ORD100019,28-12-2021,29-12-2021,CUST1484,East,Consumer,Technology,Copiers,1,137.34,137.34,0,22.14,2021,01-12-2021,1,16.12057667
ORD100020,02-02-2024,06-02-2024,CUST1183,West,Consumer,Office Supplies,Pens,1,20.07,20.07,0,-4.51,2024,01-02-2024,4,-22.47135027
ORD100021,07-05-2022,10-05-2022,CUST1096,West,Consumer,Furniture,Tables,9,9.62,86.58,0,9.76,2022,01-05-2022,3,11.27281127
ORD100022,12-12-2024,12-12-2024,CUST1147,South,Consumer,Furniture,Bookcases,4,30.37,121.48,0.05,7.9,2024,01-12-2024,0,6.503128087
ORD100023,13-06-2022,15-06-2022,CUST1416,East,Consumer,Office Supplies,Paper,8,36.82,294.56,0.1,18.48,2022,01-06-2022,2,6.273764259
ORD100024,11-10-2019,12-10-2019,CUST1472,West,Corporate,Furniture,Tables,2,62.54,125.08,0.15,4.9,2019,01-10-2019,1,3.917492805
ORD100025,07-11-2020,11-11-2020,CUST1139,West,Home Office,Office Supplies,Labels,5,22.4,112,0.2,-3.91,2020,01-11-2020,4,-3.491071429
ORD100026,03-04-2021,09-04-2021,CUST1074,Central,Consumer,Technology,Computers,1,91.72,91.72,0.15,13.66,2021,01-04-2021,6,14.89315307
ORD100027,24-01-2024,24-01-2024,CUST1383,East,Consumer,Office Supplies,Paper,2,103.18,206.36,0.15,10.21,2024,01-01-2024,0,4.947664276
ORD100028,31-07-2021,02-08-2021,CUST1397,East,Corporate,Technology,Phones,5,61.5,307.5,0,67.06,2021,01-07-2021,2,21.80813008
ORD100029,26-07-2021,30-07-2021,CUST1469,Central,Consumer,Office Supplies,Binders,7,33.58,235.06,0,35.7,2021,01-07-2021,4,15.18761167
ORD100030,14-02-2022,19-02-2022,CUST1366,West,Corporate,Technology,Accessories,1,105.03,105.03,0.15,15.84,2022,01-02-2022,5,15.08140531
ORD100031,20-04-2024,21-04-2024,CUST1048,South,Consumer,Office Supplies,Labels,1,11.54,11.54,0,0.43,2024,01-04-2024,1,3.726169844
ORD100032,01-11-2023,06-11-2023,CUST1094,South,Home Office,Office Supplies,Labels,3,25.98,77.94,0,12.34,2023,01-11-2023,5,15.83269181
ORD100033,08-02-2020,10-02-2020,CUST1489,East,Consumer,Office Supplies,Pens,6,37.2,223.2,0,17.97,2020,01-02-2020,2,8.051075269
ORD100034,12-01-2024,15-01-2024,CUST1154,Central,Consumer,Office Supplies,Paper,2,47.31,94.62,0,13.6,2024,01-01-2024,3,14.3732826
ORD100035,21-12-2023,24-12-2023,CUST1025,East,Corporate,Furniture,Chairs,3,56.27,168.81,0.15,5.49,2023,01-12-2023,3,3.252177004
ORD100036,02-03-2019,03-03-2019,CUST1035,West,Consumer,Furniture,Tables,4,83.24,332.96,0.1,1.72,2019,01-03-2019,1,0.516578568
ORD100037,25-05-2021,29-05-2021,CUST1214,West,Consumer,Furniture,Chairs,6,6.54,39.24,0.1,3.06,2021,01-05-2021,4,7.798165138
ORD100038,22-12-2021,26-12-2021,CUST1270,Central,Consumer,Furniture,Furnishings,6,49.66,297.96,0.2,-14.05,2021,01-12-2021,4,-4.71539804
ORD100039,16-06-2024,21-06-2024,CUST1349,West,Home Office,Office Supplies,Pens,3,66.54,199.62,0.15,1.84,2024,01-06-2024,5,0.921751328
ORD100040,07-09-2019,11-09-2019,CUST1091,East,Consumer,Technology,Phones,7,50.69,354.83,0.15,41.92,2019,01-09-2019,4,11.81410816
ORD100041,15-12-2024,16-12-2024,CUST1395,West,Consumer,Office Supplies,Binders,5,49.95,249.75,0,31.69,2024,01-12-2024,1,12.68868869
ORD100042,21-08-2021,22-08-2021,CUST1236,East,Corporate,Office Supplies,Paper,5,22.84,114.2,0.1,-4.37,2021,01-08-2021,1,-3.826619965
ORD100043,11-11-2024,14-11-2024,CUST1153,West,Corporate,Office Supplies,Pens,3,2.5,7.5,0.05,-8.69,2024,01-11-2024,3,-115.8666667
ORD100044,04-09-2021,05-09-2021,CUST1038,Central,Consumer,Office Supplies,Paper,4,1.9,7.6,0,7.15,2021,01-09-2021,1,94.07894737
ORD100045,08-02-2019,11-02-2019,CUST1222,East,Consumer,Technology,Phones,3,126.53,379.59,0.15,41.7,2019,01-02-2019,3,10.98553703
ORD100046,22-12-2021,24-12-2021,CUST1246,East,Home Office,Office Supplies,Pens,2,14.79,29.58,0.05,4.59,2021,01-12-2021,2,15.51724138
ORD100047,13-03-2022,18-03-2022,CUST1100,East,Corporate,Office Supplies,Pens,3,32.06,96.18,0.15,-2.42,2022,01-03-2022,5,-2.516115617
ORD100048,11-05-2022,13-05-2022,CUST1301,West,Consumer,Furniture,Chairs,2,34.41,68.82,0,7.66,2022,01-05-2022,2,11.13048532
ORD100049,28-09-2020,02-10-2020,CUST1114,Central,Consumer,Office Supplies,Paper,9,90.05,810.45,0.2,0.2,2020,01-09-2020,4,0.024677648
ORD100050,17-12-2021,19-12-2021,CUST1216,East,Consumer,Technology,Copiers,5,82.03,410.15,0.1,54.95,2021,01-12-2021,2,13.39753749
ORD100051,07-02-2022,11-02-2022,CUST1496,West,Corporate,Office Supplies,Pens,7,53.75,376.25,0.05,32.72,2022,01-02-2022,4,8.696345515
ORD100052,23-10-2020,27-10-2020,CUST1285,East,Consumer,Technology,Computers,1,66.96,66.96,0.2,-10.91,2020,01-10-2020,4,-16.29330944
ORD100053,02-09-2020,04-09-2020,CUST1099,West,Consumer,Technology,Copiers,9,63.55,571.95,0,109.47,2020,01-09-2020,2,19.13978495
ORD100054,16-06-2022,20-06-2022,CUST1068,Central,Consumer,Office Supplies,Binders,3,56.94,170.82,0,9.78,2022,01-06-2022,4,5.725324903
ORD100055,26-02-2020,29-02-2020,CUST1180,West,Home Office,Office Supplies,Labels,7,24.98,174.86,0,12.61,2020,01-02-2020,3,7.211483472
ORD100056,27-10-2020,03-11-2020,CUST1392,South,Consumer,Furniture,Tables,2,33.27,66.54,0.2,-3.06,2020,01-10-2020,7,-4.598737601
ORD100057,22-09-2022,28-09-2022,CUST1251,West,Consumer,Technology,Computers,3,92.44,277.32,0.2,14.81,2022,01-09-2022,6,5.340400981
ORD100058,18-03-2020,20-03-2020,CUST1450,South,Consumer,Office Supplies,Binders,2,15.29,30.58,0.1,2.08,2020,01-03-2020,2,6.801831262
ORD100059,03-12-2022,04-12-2022,CUST1360,West,Consumer,Office Supplies,Paper,7,32.77,229.39,0,19.86,2022,01-12-2022,1,8.657744453
ORD100060,21-06-2023,25-06-2023,CUST1133,Central,Consumer,Office Supplies,Binders,5,5.28,26.4,0.15,-0.63,2023,01-06-2023,4,-2.386363636
ORD100061,26-06-2023,28-06-2023,CUST1304,East,Consumer,Technology,Copiers,1,128.02,128.02,0.05,12.68,2023,01-06-2023,2,9.90470239
ORD100062,01-01-2021,02-01-2021,CUST1011,East,Consumer,Technology,Copiers,8,44.98,359.84,0.1,51.55,2021,01-01-2021,1,14.32581147
ORD100063,16-11-2022,18-11-2022,CUST1135,South,Corporate,Technology,Copiers,2,48.07,96.14,0.15,17.26,2022,01-11-2022,2,17.95298523
ORD100064,18-04-2020,20-04-2020,CUST1200,Central,Consumer,Office Supplies,Paper,1,81.11,81.11,0.1,12.33,2020,01-04-2020,2,15.2015781
ORD100065,07-01-2019,08-01-2019,CUST1034,Central,Consumer,Technology,Accessories,6,27.19,163.14,0.2,3.89,2019,01-01-2019,1,2.384455069
ORD100066,14-09-2022,16-09-2022,CUST1118,Central,Consumer,Technology,Phones,8,127.18,1017.44,0.2,83.74,2022,01-09-2022,2,8.230460764
ORD100067,31-07-2023,03-08-2023,CUST1341,West,Consumer,Office Supplies,Pens,1,7.42,7.42,0.2,-6.19,2023,01-07-2023,3,-83.42318059
ORD100068,02-04-2023,04-04-2023,CUST1005,Central,Consumer,Technology,Accessories,1,145.55,145.55,0,27.98,2023,01-04-2023,2,19.22363449
ORD100069,29-05-2022,03-06-2022,CUST1456,Central,Consumer,Office Supplies,Labels,1,16.81,16.81,0.1,-1.56,2022,01-05-2022,5,-9.280190363
ORD100070,25-05-2021,28-05-2021,CUST1071,East,Consumer,Technology,Accessories,7,89.69,627.83,0.2,39.99,2021,01-05-2021,3,6.369558638
ORD100071,04-10-2022,10-10-2022,CUST1111,Central,Consumer,Office Supplies,Paper,7,37.82,264.74,0,24.93,2022,01-10-2022,6,9.416786281
ORD100072,26-08-2020,28-08-2020,CUST1251,South,Corporate,Office Supplies,Paper,2,54.34,108.68,0,21.84,2020,01-08-2020,2,20.09569378
ORD100073,09-02-2024,13-02-2024,CUST1471,South,Consumer,Office Supplies,Paper,7,88.24,617.68,0,72.98,2024,01-02-2024,4,11.81517938
ORD100074,27-08-2020,31-08-2020,CUST1068,East,Corporate,Technology,Phones,2,19.07,38.14,0,1.6,2020,01-08-2020,4,4.195070792
ORD100075,21-12-2020,23-12-2020,CUST1110,East,Consumer,Furniture,Furnishings,9,123.68,1113.12,0,94.56,2020,01-12-2020,2,8.495040966
ORD100076,13-02-2024,16-02-2024,CUST1280,Central,Home Office,Office Supplies,Labels,3,13.75,41.25,0.1,-2.89,2024,01-02-2024,3,-7.006060606
ORD100077,29-08-2024,02-09-2024,CUST1169,West,Corporate,Office Supplies,Labels,6,45.36,272.16,0.1,17.29,2024,01-08-2024,4,6.352880658
ORD100078,18-01-2024,21-01-2024,CUST1248,Central,Corporate,Office Supplies,Paper,9,16.9,152.1,0.15,-5.3,2024,01-01-2024,3,-3.484549638
ORD100079,07-06-2024,09-06-2024,CUST1291,South,Consumer,Technology,Copiers,1,87.26,87.26,0.05,18.71,2024,01-06-2024,2,21.44166858
ORD100080,18-08-2021,23-08-2021,CUST1385,East,Consumer,Office Supplies,Pens,8,28.01,224.08,0,30.81,2021,01-08-2021,5,13.74955373
ORD100081,18-04-2023,20-04-2023,CUST1273,East,Consumer,Technology,Accessories,6,15.74,94.44,0.05,15.04,2023,01-04-2023,2,15.92545532
ORD100082,23-03-2024,25-03-2024,CUST1440,South,Consumer,Office Supplies,Paper,1,13.86,13.86,0.15,5.82,2024,01-03-2024,2,41.99134199
ORD100083,22-03-2019,25-03-2019,CUST1066,South,Consumer,Furniture,Furnishings,9,4.96,44.64,0.05,2.25,2019,01-03-2019,3,5.040322581
ORD100084,08-05-2022,12-05-2022,CUST1424,West,Consumer,Technology,Computers,5,135.83,679.15,0.05,122,2022,01-05-2022,4,17.96363101
ORD100085,21-11-2023,25-11-2023,CUST1149,Central,Corporate,Technology,Computers,5,61.68,308.4,0.1,46.31,2023,01-11-2023,4,15.01621271
ORD100086,07-11-2020,08-11-2020,CUST1317,East,Home Office,Furniture,Tables,8,70.11,560.88,0.15,-9.03,2020,01-11-2020,1,-1.609970047
ORD100087,22-04-2019,24-04-2019,CUST1219,West,Home Office,Office Supplies,Labels,4,83.81,335.24,0,40.6,2019,01-04-2019,2,12.11072664
ORD100088,25-07-2019,30-07-2019,CUST1409,West,Consumer,Office Supplies,Pens,6,24.39,146.34,0.05,9.98,2019,01-07-2019,5,6.819734864
ORD100089,02-04-2023,06-04-2023,CUST1381,Central,Corporate,Office Supplies,Labels,4,47.28,189.12,0.1,19.77,2023,01-04-2023,4,10.4536802
ORD100090,21-03-2019,25-03-2019,CUST1167,Central,Consumer,Technology,Phones,2,175.6,351.2,0,73.26,2019,01-03-2019,4,20.85990888
ORD100091,14-06-2019,18-06-2019,CUST1372,West,Corporate,Technology,Accessories,8,106.72,853.76,0.15,94.86,2019,01-06-2019,4,11.11085082
ORD100092,16-09-2020,17-09-2020,CUST1348,East,Consumer,Office Supplies,Labels,8,33.28,266.24,0,28.47,2020,01-09-2020,1,10.69335937
ORD100093,19-03-2024,22-03-2024,CUST1077,West,Corporate,Technology,Copiers,4,112.81,451.24,0.2,44.64,2024,01-03-2024,3,9.892740005
ORD100094,14-04-2020,20-04-2020,CUST1480,Central,Consumer,Technology,Accessories,9,31.58,284.22,0,64.91,2020,01-04-2020,6,22.83794244
ORD100095,01-07-2022,02-07-2022,CUST1103,South,Home Office,Technology,Computers,3,11.56,34.68,0,-0.23,2022,01-07-2022,1,-0.663206459
ORD100096,08-11-2019,11-11-2019,CUST1110,East,Corporate,Technology,Accessories,1,118.64,118.64,0.05,19.76,2019,01-11-2019,3,16.65542819
ORD100097,10-05-2020,12-05-2020,CUST1484,Central,Consumer,Technology,Phones,7,65.92,461.44,0.2,39.04,2020,01-05-2020,2,8.460471567
ORD100098,26-02-2023,01-03-2023,CUST1396,East,Corporate,Office Supplies,Pens,4,102.29,409.16,0.1,29.22,2023,01-02-2023,3,7.141460553
ORD100099,08-03-2020,12-03-2020,CUST1410,South,Corporate,Office Supplies,Pens,3,28.54,85.62,0.1,-4.25,2020,01-03-2020,4,-4.963793506
ORD100100,22-12-2020,24-12-2020,CUST1329,South,Consumer,Technology,Copiers,8,8.85,70.8,0.2,-1.82,2020,01-12-2020,2,-2.570621469
ORD100101,04-01-2022,07-01-2022,CUST1445,East,Consumer,Office Supplies,Paper,2,3.89,7.78,0.1,0.23,2022,01-01-2022,3,2.956298201
ORD100102,25-09-2021,01-10-2021,CUST1091,Central,Consumer,Technology,Computers,9,143.73,1293.57,0.05,222.46,2021,01-09-2021,6,17.19736852
ORD100103,14-01-2021,17-01-2021,CUST1404,Central,Consumer,Technology,Copiers,4,82.23,328.92,0.15,30.71,2021,01-01-2021,3,9.336616807
ORD100104,05-02-2022,07-02-2022,CUST1136,East,Consumer,Technology,Accessories,4,99.01,396.04,0.1,48.85,2022,01-02-2022,2,12.33461267
ORD100105,24-06-2024,25-06-2024,CUST1089,South,Corporate,Technology,Accessories,6,28.4,170.4,0.1,30.33,2024,01-06-2024,1,17.79929577
ORD100106,10-01-2024,13-01-2024,CUST1178,Central,Consumer,Technology,Phones,6,79.73,478.38,0.2,44.87,2024,01-01-2024,3,9.379572725
ORD100107,23-09-2021,28-09-2021,CUST1468,South,Consumer,Office Supplies,Pens,1,1.24,1.24,0.05,5.64,2021,01-09-2021,5,454.8387097
ORD100108,09-10-2023,11-10-2023,CUST1256,Central,Corporate,Furniture,Bookcases,7,83.99,587.93,0.05,31.04,2023,01-10-2023,2,5.279540081
ORD100109,09-06-2022,12-06-2022,CUST1143,West,Consumer,Office Supplies,Binders,8,54.03,432.24,0.2,-3.5,2022,01-06-2022,3,-0.809735332
ORD100110,28-01-2021,01-02-2021,CUST1434,Central,Corporate,Office Supplies,Labels,4,23.59,94.36,0.15,4.1,2021,01-01-2021,4,4.345061467
ORD100111,05-03-2022,09-03-2022,CUST1086,Central,Consumer,Furniture,Tables,7,49.41,345.87,0,31.53,2022,01-03-2022,4,9.116141903
ORD100112,23-05-2022,24-05-2022,CUST1246,Central,Consumer,Office Supplies,Paper,3,40.87,122.61,0,20.36,2022,01-05-2022,1,16.6054971
ORD100113,11-04-2022,11-04-2022,CUST1053,South,Consumer,Technology,Accessories,9,59.02,531.18,0,103.79,2022,01-04-2022,0,19.5395158
ORD100114,10-03-2022,12-03-2022,CUST1095,Central,Consumer,Technology,Computers,8,108.44,867.52,0,171.28,2022,01-03-2022,2,19.74363703
ORD100115,31-10-2021,03-11-2021,CUST1222,East,Corporate,Furniture,Furnishings,7,36.79,257.53,0.1,-3.67,2021,01-10-2021,3,-1.42507669
ORD100116,07-07-2024,11-07-2024,CUST1470,West,Consumer,Office Supplies,Binders,7,42.25,295.75,0.15,15.94,2024,01-07-2024,4,5.389687236
ORD100117,29-05-2022,01-06-2022,CUST1499,East,Consumer,Office Supplies,Paper,6,2.2,13.2,0.1,-0.5,2022,01-05-2022,3,-3.787878788
ORD100118,13-07-2021,16-07-2021,CUST1369,South,Home Office,Technology,Computers,3,148.06,444.18,0.05,75.07,2021,01-07-2021,3,16.90080598
ORD100119,23-10-2023,26-10-2023,CUST1493,East,Home Office,Office Supplies,Binders,4,56.12,224.48,0,21.18,2023,01-10-2023,3,9.435138988
ORD100120,14-05-2021,18-05-2021,CUST1164,West,Consumer,Office Supplies,Binders,9,84.44,759.96,0.15,22.9,2021,01-05-2021,4,3.01331649
ORD100121,04-11-2019,05-11-2019,CUST1026,South,Corporate,Office Supplies,Labels,9,48.46,436.14,0.1,30.75,2019,01-11-2019,1,7.050488375
ORD100122,07-04-2022,10-04-2022,CUST1400,Central,Corporate,Office Supplies,Pens,5,27.34,136.7,0.1,20.05,2022,01-04-2022,3,14.66715435
ORD100123,19-10-2019,19-10-2019,CUST1309,West,Consumer,Technology,Copiers,1,87.47,87.47,0.15,13.4,2019,01-10-2019,0,15.31953813
ORD100124,09-07-2021,11-07-2021,CUST1163,West,Consumer,Technology,Copiers,1,109.92,109.92,0,14.48,2021,01-07-2021,2,13.17321689
ORD100125,13-06-2022,16-06-2022,CUST1311,South,Consumer,Technology,Copiers,1,91.91,91.91,0.2,15.95,2022,01-06-2022,3,17.3539332
ORD100126,30-05-2022,03-06-2022,CUST1200,South,Consumer,Technology,Copiers,2,78.6,157.2,0.15,8.44,2022,01-05-2022,4,5.368956743
ORD100127,13-06-2019,17-06-2019,CUST1171,Central,Consumer,Furniture,Bookcases,3,54.87,164.61,0,21.02,2019,01-06-2019,4,12.76957657
ORD100128,26-03-2019,27-03-2019,CUST1304,East,Corporate,Furniture,Bookcases,1,27.02,27.02,0,-0.94,2019,01-03-2019,1,-3.478904515
ORD100129,11-04-2024,16-04-2024,CUST1373,Central,Consumer,Technology,Computers,6,134.19,805.14,0.15,83.42,2024,01-04-2024,5,10.36093102
ORD100130,21-11-2023,22-11-2023,CUST1287,East,Consumer,Technology,Computers,7,1.9,13.3,0.1,3.26,2023,01-11-2023,1,24.5112782
ORD100131,27-09-2022,29-09-2022,CUST1327,West,Consumer,Office Supplies,Binders,2,66.27,132.54,0.2,1.8,2022,01-09-2022,2,1.358080579
ORD100132,22-07-2024,23-07-2024,CUST1482,East,Consumer,Office Supplies,Labels,2,99.64,199.28,0.05,16.23,2024,01-07-2024,1,8.14431955
ORD100133,30-10-2021,04-11-2021,CUST1473,East,Corporate,Office Supplies,Labels,7,69.77,488.39,0.15,24.17,2021,01-10-2021,5,4.948913778
ORD100134,07-03-2024,12-03-2024,CUST1107,Central,Corporate,Office Supplies,Paper,2,40.54,81.08,0.1,4.63,2024,01-03-2024,5,5.710409472
ORD100135,16-12-2023,21-12-2023,CUST1184,Central,Consumer,Technology,Accessories,8,52.89,423.12,0.05,79.54,2023,01-12-2023,5,18.79844961
ORD100136,30-11-2023,01-12-2023,CUST1339,East,Consumer,Furniture,Furnishings,5,44.45,222.25,0.2,-7.39,2023,01-11-2023,1,-3.325084364
ORD100137,07-09-2021,12-09-2021,CUST1398,East,Consumer,Technology,Copiers,1,41.86,41.86,0,9.75,2021,01-09-2021,5,23.29192547
ORD100138,09-07-2021,18-07-2021,CUST1259,South,Home Office,Furniture,Chairs,8,36.66,293.28,0.2,-14.19,2021,01-07-2021,9,-4.838379705
ORD100139,22-09-2020,25-09-2020,CUST1217,Central,Consumer,Technology,Copiers,9,102.22,919.98,0.1,131.91,2020,01-09-2020,3,14.33835518
ORD100140,18-04-2024,19-04-2024,CUST1046,South,Consumer,Office Supplies,Paper,7,68.82,481.74,0.15,17.31,2024,01-04-2024,1,3.593224561
ORD100141,12-09-2024,15-09-2024,CUST1119,East,Consumer,Technology,Accessories,9,141.9,1277.1,0.1,169.81,2024,01-09-2024,3,13.2965312
ORD100142,24-10-2022,26-10-2022,CUST1475,East,Consumer,Furniture,Bookcases,9,27.24,245.16,0.05,13.2,2022,01-10-2022,2,5.384238864
ORD100143,28-06-2024,01-07-2024,CUST1037,South,Consumer,Furniture,Furnishings,8,20.58,164.64,0.15,-2.16,2024,01-06-2024,3,-1.311953353
ORD100144,26-03-2023,30-03-2023,CUST1113,West,Home Office,Technology,Copiers,8,81.73,653.84,0,125.62,2023,01-03-2023,4,19.21265141
ORD100145,18-04-2023,26-04-2023,CUST1058,East,Consumer,Office Supplies,Labels,9,34.76,312.84,0.1,22.48,2023,01-04-2023,8,7.185781869
ORD100146,11-04-2023,14-04-2023,CUST1132,South,Home Office,Office Supplies,Paper,9,2.81,25.29,0,7.2,2023,01-04-2023,3,28.46975089
ORD100147,19-08-2024,23-08-2024,CUST1294,East,Home Office,Furniture,Bookcases,2,62.71,125.42,0.1,9.96,2024,01-08-2024,4,7.941317174
ORD100148,13-02-2020,18-02-2020,CUST1325,East,Corporate,Technology,Computers,3,89.98,269.94,0.1,29.9,2020,01-02-2020,5,11.07653553
ORD100149,24-09-2020,28-09-2020,CUST1195,Central,Corporate,Office Supplies,Pens,4,5.86,23.44,0.1,0.44,2020,01-09-2020,4,1.877133106
ORD100150,25-11-2019,27-11-2019,CUST1393,Central,Corporate,Furniture,Furnishings,6,77.8,466.8,0.1,16.95,2019,01-11-2019,2,3.631105398
ORD100151,28-05-2019,28-05-2019,CUST1305,Central,Home Office,Technology,Accessories,4,124.15,496.6,0.2,31.1,2019,01-05-2019,0,6.262585582
ORD100152,06-01-2020,07-01-2020,CUST1032,East,Consumer,Office Supplies,Binders,6,57.46,344.76,0.2,2.28,2020,01-01-2020,1,0.661329621
ORD100153,11-05-2022,12-05-2022,CUST1481,Central,Corporate,Furniture,Chairs,2,19.19,38.38,0.05,2.81,2022,01-05-2022,1,7.321521626
ORD100154,08-01-2023,11-01-2023,CUST1461,West,Consumer,Office Supplies,Paper,4,39.21,156.84,0.15,0.34,2023,01-01-2023,3,0.216781433
ORD100155,07-01-2021,11-01-2021,CUST1442,South,Corporate,Office Supplies,Binders,4,49.02,196.08,0,26.99,2021,01-01-2021,4,13.76478988
ORD100156,31-07-2024,04-08-2024,CUST1319,West,Consumer,Furniture,Tables,1,20.06,20.06,0.05,-6.22,2024,01-07-2024,4,-31.00697906
ORD100157,26-02-2024,02-03-2024,CUST1078,South,Home Office,Office Supplies,Binders,2,37.71,75.42,0.2,-6.65,2024,01-02-2024,5,-8.817289844
ORD100158,09-10-2020,10-10-2020,CUST1315,Central,Corporate,Office Supplies,Pens,3,5.53,16.59,0.1,7.7,2020,01-10-2020,1,46.41350211
ORD100159,21-10-2021,21-10-2021,CUST1454,West,Home Office,Technology,Copiers,1,22.95,22.95,0.1,0.18,2021,01-10-2021,0,0.784313725
ORD100160,12-03-2020,14-03-2020,CUST1213,Central,Home Office,Office Supplies,Pens,6,47.63,285.78,0.05,34.31,2020,01-03-2020,2,12.00573868
ORD100161,31-03-2019,03-04-2019,CUST1477,Central,Consumer,Furniture,Furnishings,2,128.89,257.78,0.2,-7.83,2019,01-03-2019,3,-3.037473815
ORD100162,20-07-2019,24-07-2019,CUST1213,Central,Corporate,Furniture,Furnishings,3,19.47,58.41,0,6.69,2019,01-07-2019,4,11.45351823
ORD100163,14-12-2022,17-12-2022,CUST1147,Central,Corporate,Office Supplies,Paper,1,3.16,3.16,0.2,-0.13,2022,01-12-2022,3,-4.113924051
ORD100164,14-07-2020,16-07-2020,CUST1460,Central,Corporate,Technology,Phones,1,61.16,61.16,0,6.86,2020,01-07-2020,2,11.21648136
ORD100165,03-02-2023,06-02-2023,CUST1142,Central,Consumer,Technology,Phones,2,84.07,168.14,0.1,24.91,2023,01-02-2023,3,14.81503509
ORD100166,20-12-2020,24-12-2020,CUST1222,Central,Corporate,Office Supplies,Pens,9,39.93,359.37,0.05,30.38,2020,01-12-2020,4,8.453682834
ORD100167,27-05-2024,31-05-2024,CUST1083,Central,Corporate,Furniture,Bookcases,4,84.06,336.24,0.1,4.4,2024,01-05-2024,4,1.308589103
ORD100168,05-11-2019,06-11-2019,CUST1187,South,Home Office,Office Supplies,Paper,2,29.26,58.52,0.15,4.4,2019,01-11-2019,1,7.518796992
ORD100169,07-02-2023,12-02-2023,CUST1351,East,Consumer,Office Supplies,Labels,8,13.52,108.16,0,12.38,2023,01-02-2023,5,11.44600592
ORD100170,06-02-2024,08-02-2024,CUST1446,South,Corporate,Office Supplies,Pens,1,1.46,1.46,0.05,-1.63,2024,01-02-2024,2,-111.6438356
ORD100171,19-03-2020,26-03-2020,CUST1434,East,Corporate,Technology,Computers,9,147.36,1326.24,0.15,148.18,2020,01-03-2020,7,11.17294004
ORD100172,05-09-2022,09-09-2022,CUST1370,East,Corporate,Furniture,Tables,6,21.09,126.54,0.1,10.27,2022,01-09-2022,4,8.116010748
ORD100173,22-05-2022,26-05-2022,CUST1477,West,Consumer,Technology,Phones,7,24.58,172.06,0,27.19,2022,01-05-2022,4,15.80262699
ORD100174,31-05-2022,02-06-2022,CUST1040,East,Consumer,Furniture,Chairs,6,23.73,142.38,0.15,-6.74,2022,01-05-2022,2,-4.733810929
